timestamp,symbol,model_name,signal_strength_0_to_1,latency_ms
2010-01-04,QQQ,LGB,0.5,3.0
2010-01-05,QQQ,LGB,0.5,3.0
2010-01-06,QQQ,LGB,0.5,3.0
2010-01-07,QQQ,LGB,0.5,3.0
2010-01-08,QQQ,LGB,0.5,3.0
2010-01-11,QQQ,LGB,0.5,3.0
2010-01-12,QQQ,LGB,0.5,3.0
2010-01-13,QQQ,LGB,0.5,3.0
2010-01-14,QQQ,LGB,0.5,3.0
2010-01-15,QQQ,LGB,0.5,3.0
2010-01-19,QQQ,LGB,0.5,3.0
2010-01-20,QQQ,LGB,0.5,3.0
2010-01-21,QQQ,LGB,0.5,3.0
2010-01-22,QQQ,LGB,0.5,3.0
2010-01-25,QQQ,LGB,0.5,3.0
2010-01-26,QQQ,LGB,0.5,3.0
2010-01-27,QQQ,LGB,0.5,3.0
2010-01-28,QQQ,LGB,0.5,3.0
2010-01-29,QQQ,LGB,0.5,3.0
2010-02-01,QQQ,LGB,0.5,3.0
2010-02-02,QQQ,LGB,0.5,3.0
2010-02-03,QQQ,LGB,0.5,3.0
2010-02-04,QQQ,LGB,0.5,3.0
2010-02-05,QQQ,LGB,0.5,3.0
2010-02-08,QQQ,LGB,0.5,3.0
2010-02-09,QQQ,LGB,0.5,3.0
2010-02-10,QQQ,LGB,0.5,3.0
2010-02-11,QQQ,LGB,0.5,3.0
2010-02-12,QQQ,LGB,0.5,3.0
2010-02-16,QQQ,LGB,0.5,3.0
2010-02-17,QQQ,LGB,0.5,3.0
2010-02-18,QQQ,LGB,0.5,3.0
2010-02-19,QQQ,LGB,0.5,3.0
2010-02-22,QQQ,LGB,0.5,3.0
2010-02-23,QQQ,LGB,0.5,3.0
2010-02-24,QQQ,LGB,0.5,3.0
2010-02-25,QQQ,LGB,0.5,3.0
2010-02-26,QQQ,LGB,0.5,3.0
2010-03-01,QQQ,LGB,0.5,3.0
2010-03-02,QQQ,LGB,0.5,3.0
2010-03-03,QQQ,LGB,0.5,3.0
2010-03-04,QQQ,LGB,0.5,3.0
2010-03-05,QQQ,LGB,0.5,3.0
2010-03-08,QQQ,LGB,0.5,3.0
2010-03-09,QQQ,LGB,0.5,3.0
2010-03-10,QQQ,LGB,0.5,3.0
2010-03-11,QQQ,LGB,0.5,3.0
2010-03-12,QQQ,LGB,0.5,3.0
2010-03-15,QQQ,LGB,0.5,3.0
2010-03-16,QQQ,LGB,0.5,3.0
2010-03-17,QQQ,LGB,0.5,3.0
2010-03-18,QQQ,LGB,0.5,3.0
2010-03-19,QQQ,LGB,0.5,3.0
2010-03-22,QQQ,LGB,0.5,3.0
2010-03-23,QQQ,LGB,0.5,3.0
2010-03-24,QQQ,LGB,0.5,3.0
2010-03-25,QQQ,LGB,0.5,3.0
2010-03-26,QQQ,LGB,0.5,3.0
2010-03-29,QQQ,LGB,0.5,3.0
2010-03-30,QQQ,LGB,0.5,3.0
2010-03-31,QQQ,LGB,0.5,3.0
2010-04-01,QQQ,LGB,0.5,3.0
2010-04-05,QQQ,LGB,0.5,3.0
2010-04-06,QQQ,LGB,0.5,3.0
2010-04-07,QQQ,LGB,0.5,3.0
2010-04-08,QQQ,LGB,0.5,3.0
2010-04-09,QQQ,LGB,0.5,3.0
2010-04-12,QQQ,LGB,0.5,3.0
2010-04-13,QQQ,LGB,0.5,3.0
2010-04-14,QQQ,LGB,0.5,3.0
2010-04-15,QQQ,LGB,0.5,3.0
2010-04-16,QQQ,LGB,0.5,3.0
