timestamp,symbol,model_name,signal_strength_0_to_1,latency_ms
2020-01-02,CSI300,LSTM,0.514971911907196,15.0
2020-01-03,CSI300,LSTM,0.5155423879623413,15.0
2020-01-06,CSI300,LSTM,0.5160731673240662,15.0
2020-01-07,CSI300,LSTM,0.5166313052177429,15.0
2020-01-08,CSI300,LSTM,0.5169539451599121,15.0
2020-01-09,CSI300,LSTM,0.5174824595451355,15.0
2020-01-10,CSI300,LSTM,0.517629086971283,15.0
2020-01-13,CSI300,LSTM,0.5177291631698608,15.0
2020-01-14,CSI300,LSTM,0.5175923705101013,15.0
2020-01-15,CSI300,LSTM,0.5176246762275696,15.0
2020-01-16,CSI300,LSTM,0.5175086855888367,15.0
2020-01-17,CSI300,LSTM,0.5172576308250427,15.0
2020-01-20,CSI300,LSTM,0.5170363187789917,15.0
2020-01-21,CSI300,LSTM,0.5171423554420471,15.0
2020-01-22,CSI300,LSTM,0.5174074769020081,15.0
2020-01-23,CSI300,LSTM,0.5173956155776978,15.0
2020-02-03,CSI300,LSTM,0.5166804790496826,15.0
2020-02-04,CSI300,LSTM,0.5118056535720825,15.0
2020-02-05,CSI300,LSTM,0.5081210732460022,15.0
2020-02-06,CSI300,LSTM,0.505338728427887,15.0
2020-02-07,CSI300,LSTM,0.5026924014091492,15.0
2020-02-10,CSI300,LSTM,0.4993157684803009,15.0
2020-02-11,CSI300,LSTM,0.4948860704898834,15.0
2020-02-12,CSI300,LSTM,0.4917479455471039,15.0
2020-02-13,CSI300,LSTM,0.4893234074115753,15.0
2020-02-14,CSI300,LSTM,0.48890942335128784,15.0
2020-02-17,CSI300,LSTM,0.4884931743144989,15.0
2020-02-18,CSI300,LSTM,0.48947733640670776,15.0
2020-02-19,CSI300,LSTM,0.4918249845504761,15.0
2020-02-20,CSI300,LSTM,0.49485695362091064,15.0
2020-02-21,CSI300,LSTM,0.4976962208747864,15.0
2020-02-24,CSI300,LSTM,0.5008229613304138,15.0
2020-02-25,CSI300,LSTM,0.5037497878074646,15.0
2020-02-26,CSI300,LSTM,0.5060375928878784,15.0
2020-02-27,CSI300,LSTM,0.5080556273460388,15.0
2020-02-28,CSI300,LSTM,0.5088507533073425,15.0
2020-03-02,CSI300,LSTM,0.5086289048194885,15.0
2020-03-03,CSI300,LSTM,0.508188009262085,15.0
2020-03-04,CSI300,LSTM,0.5082831382751465,15.0
2020-03-05,CSI300,LSTM,0.5081743001937866,15.0
2020-03-06,CSI300,LSTM,0.5082516670227051,15.0
2020-03-09,CSI300,LSTM,0.5081649422645569,15.0
2020-03-10,CSI300,LSTM,0.5078986287117004,15.0
2020-03-11,CSI300,LSTM,0.5066198110580444,15.0
2020-03-12,CSI300,LSTM,0.5058116912841797,15.0
2020-03-13,CSI300,LSTM,0.504870593547821,15.0
2020-03-16,CSI300,LSTM,0.503768265247345,15.0
2020-03-17,CSI300,LSTM,0.5034237504005432,15.0
2020-03-18,CSI300,LSTM,0.5027285218238831,15.0
2020-03-19,CSI300,LSTM,0.5025365352630615,15.0
2020-03-20,CSI300,LSTM,0.5021648406982422,15.0
2020-03-23,CSI300,LSTM,0.5014969110488892,15.0
2020-03-24,CSI300,LSTM,0.5009132623672485,15.0
2020-03-25,CSI300,LSTM,0.49901115894317627,15.0
2020-03-26,CSI300,LSTM,0.4960729777812958,15.0
2020-03-27,CSI300,LSTM,0.49333927035331726,15.0
2020-03-30,CSI300,LSTM,0.49188610911369324,15.0
2020-03-31,CSI300,LSTM,0.48976564407348633,15.0
2020-04-01,CSI300,LSTM,0.48886120319366455,15.0
2020-04-02,CSI300,LSTM,0.488944411277771,15.0
