timestamp,symbol,model_name,signal_strength_0_to_1,latency_ms
2010-07-06,QQQ,LSTM,0.5071871876716614,15.0
2010-07-07,QQQ,LSTM,0.5069893002510071,15.0
2010-07-08,QQQ,LSTM,0.5073646903038025,15.0
2010-07-09,QQQ,LSTM,0.5074985027313232,15.0
2010-07-12,QQQ,LSTM,0.5079343318939209,15.0
2010-07-13,QQQ,LSTM,0.5083311796188354,15.0
2010-07-14,QQQ,LSTM,0.5086368918418884,15.0
2010-07-15,QQQ,LSTM,0.5088955760002136,15.0
2010-07-16,QQQ,LSTM,0.5091002583503723,15.0
2010-07-19,QQQ,LSTM,0.5090624690055847,15.0
2010-07-20,QQQ,LSTM,0.5089862942695618,15.0
2010-07-21,QQQ,LSTM,0.5092872381210327,15.0
2010-07-22,QQQ,LSTM,0.5092242360115051,15.0
2010-07-23,QQQ,LSTM,0.5093520879745483,15.0
2010-07-26,QQQ,LSTM,0.5096580982208252,15.0
2010-07-27,QQQ,LSTM,0.5099908709526062,15.0
2010-07-28,QQQ,LSTM,0.5102397799491882,15.0
2010-07-29,QQQ,LSTM,0.5105744004249573,15.0
2010-07-30,QQQ,LSTM,0.5106049180030823,15.0
2010-08-02,QQQ,LSTM,0.5107054114341736,15.0
2010-08-03,QQQ,LSTM,0.5109620094299316,15.0
2010-08-04,QQQ,LSTM,0.5111477971076965,15.0
2010-08-05,QQQ,LSTM,0.5115947723388672,15.0
2010-08-06,QQQ,LSTM,0.5120372176170349,15.0
2010-08-09,QQQ,LSTM,0.5123432874679565,15.0
2010-08-10,QQQ,LSTM,0.5127258896827698,15.0
2010-08-11,QQQ,LSTM,0.5126541256904602,15.0
2010-08-12,QQQ,LSTM,0.5121139883995056,15.0
2010-08-13,QQQ,LSTM,0.5117197036743164,15.0
2010-08-16,QQQ,LSTM,0.5112583637237549,15.0
2010-08-17,QQQ,LSTM,0.5109850764274597,15.0
2010-08-18,QQQ,LSTM,0.5108594298362732,15.0
2010-08-19,QQQ,LSTM,0.5108082294464111,15.0
2010-08-20,QQQ,LSTM,0.5104030966758728,15.0
2010-08-23,QQQ,LSTM,0.5101503133773804,15.0
2010-08-24,QQQ,LSTM,0.5098575353622437,15.0
2010-08-25,QQQ,LSTM,0.5093826651573181,15.0
2010-08-26,QQQ,LSTM,0.509174108505249,15.0
2010-08-27,QQQ,LSTM,0.5087647438049316,15.0
2010-08-30,QQQ,LSTM,0.5084955096244812,15.0
2010-08-31,QQQ,LSTM,0.5083546042442322,15.0
2010-09-01,QQQ,LSTM,0.5082651376724243,15.0
2010-09-02,QQQ,LSTM,0.5084478855133057,15.0
2010-09-03,QQQ,LSTM,0.5088438987731934,15.0
2010-09-07,QQQ,LSTM,0.5092261433601379,15.0
2010-09-08,QQQ,LSTM,0.5095524191856384,15.0
2010-09-09,QQQ,LSTM,0.5100120902061462,15.0
2010-09-10,QQQ,LSTM,0.5103980898857117,15.0
2010-09-13,QQQ,LSTM,0.5108217000961304,15.0
2010-09-14,QQQ,LSTM,0.5113779306411743,15.0
2010-09-15,QQQ,LSTM,0.5118201375007629,15.0
2010-09-16,QQQ,LSTM,0.5123501420021057,15.0
2010-09-17,QQQ,LSTM,0.5127822756767273,15.0
2010-09-20,QQQ,LSTM,0.5129819512367249,15.0
2010-09-21,QQQ,LSTM,0.5134533047676086,15.0
2010-09-22,QQQ,LSTM,0.5137279033660889,15.0
2010-09-23,QQQ,LSTM,0.5139017701148987,15.0
2010-09-24,QQQ,LSTM,0.5141162276268005,15.0
2010-09-27,QQQ,LSTM,0.5144321322441101,15.0
2010-09-28,QQQ,LSTM,0.5148037672042847,15.0
2010-09-29,QQQ,LSTM,0.5147687196731567,15.0
2010-09-30,QQQ,LSTM,0.5148184895515442,15.0
2010-10-01,QQQ,LSTM,0.5145584344863892,15.0
2010-10-04,QQQ,LSTM,0.5144234895706177,15.0
2010-10-05,QQQ,LSTM,0.5142988562583923,15.0
2010-10-06,QQQ,LSTM,0.514358639717102,15.0
2010-10-07,QQQ,LSTM,0.5143651962280273,15.0
2010-10-08,QQQ,LSTM,0.514394998550415,15.0
2010-10-11,QQQ,LSTM,0.5145657062530518,15.0
2010-10-12,QQQ,LSTM,0.5149020552635193,15.0
2010-10-13,QQQ,LSTM,0.5150939226150513,15.0
2010-10-14,QQQ,LSTM,0.5153455138206482,15.0
2010-10-15,QQQ,LSTM,0.5155056118965149,15.0
2010-10-18,QQQ,LSTM,0.5156638026237488,15.0
2010-10-19,QQQ,LSTM,0.5158877372741699,15.0
2010-10-20,QQQ,LSTM,0.5158414840698242,15.0
2010-10-21,QQQ,LSTM,0.5160074234008789,15.0
2010-10-22,QQQ,LSTM,0.516055166721344,15.0
2010-10-25,QQQ,LSTM,0.5164086222648621,15.0
2010-10-26,QQQ,LSTM,0.516721248626709,15.0
2010-10-27,QQQ,LSTM,0.5170238018035889,15.0
2010-10-28,QQQ,LSTM,0.5172607898712158,15.0
2010-10-29,QQQ,LSTM,0.5174004435539246,15.0
2010-11-01,QQQ,LSTM,0.5176125168800354,15.0
2010-11-02,QQQ,LSTM,0.5177325010299683,15.0
2010-11-03,QQQ,LSTM,0.5179131627082825,15.0
2010-11-04,QQQ,LSTM,0.5174186825752258,15.0
2010-11-05,QQQ,LSTM,0.5174131393432617,15.0
2010-11-08,QQQ,LSTM,0.5174005627632141,15.0
2010-11-09,QQQ,LSTM,0.5177060961723328,15.0
2010-11-10,QQQ,LSTM,0.5177844166755676,15.0
2010-11-11,QQQ,LSTM,0.5177069306373596,15.0
2010-11-12,QQQ,LSTM,0.5176700949668884,15.0
2010-11-15,QQQ,LSTM,0.5176065564155579,15.0
2010-11-16,QQQ,LSTM,0.5177792310714722,15.0
2010-11-17,QQQ,LSTM,0.5174378752708435,15.0
2010-11-18,QQQ,LSTM,0.5172582864761353,15.0
2010-11-19,QQQ,LSTM,0.5172824859619141,15.0
2010-11-22,QQQ,LSTM,0.5173969268798828,15.0
2010-11-23,QQQ,LSTM,0.5175169110298157,15.0
2010-11-24,QQQ,LSTM,0.5174369215965271,15.0
2010-11-26,QQQ,LSTM,0.5176756381988525,15.0
2010-11-29,QQQ,LSTM,0.518035888671875,15.0
2010-11-30,QQQ,LSTM,0.5178185701370239,15.0
2010-12-01,QQQ,LSTM,0.517504096031189,15.0
2010-12-02,QQQ,LSTM,0.5175428986549377,15.0
2010-12-03,QQQ,LSTM,0.5176894068717957,15.0
2010-12-06,QQQ,LSTM,0.517920732498169,15.0
2010-12-07,QQQ,LSTM,0.5180914998054504,15.0
2010-12-08,QQQ,LSTM,0.5181309580802917,15.0
2010-12-09,QQQ,LSTM,0.5182889103889465,15.0
2010-12-10,QQQ,LSTM,0.5183827877044678,15.0
2010-12-13,QQQ,LSTM,0.5185639262199402,15.0
2010-12-14,QQQ,LSTM,0.5186168551445007,15.0
2010-12-15,QQQ,LSTM,0.5184788703918457,15.0
2010-12-16,QQQ,LSTM,0.5183818340301514,15.0
2010-12-17,QQQ,LSTM,0.5184410810470581,15.0
2010-12-20,QQQ,LSTM,0.5187065005302429,15.0
2010-12-21,QQQ,LSTM,0.5187968611717224,15.0
2010-12-22,QQQ,LSTM,0.5189717411994934,15.0
2010-12-23,QQQ,LSTM,0.5191068053245544,15.0
2010-12-27,QQQ,LSTM,0.5193628668785095,15.0
2010-12-28,QQQ,LSTM,0.5195673704147339,15.0
2010-12-29,QQQ,LSTM,0.5198153853416443,15.0
2010-12-30,QQQ,LSTM,0.5199735760688782,15.0
2010-12-31,QQQ,LSTM,0.5200439691543579,15.0
2011-01-03,QQQ,LSTM,0.5200024247169495,15.0
2011-01-04,QQQ,LSTM,0.5157653093338013,15.0
2011-01-05,QQQ,LSTM,0.5154262185096741,15.0
2011-01-06,QQQ,LSTM,0.515256404876709,15.0
2011-01-07,QQQ,LSTM,0.5150397419929504,15.0
2011-01-10,QQQ,LSTM,0.5143804550170898,15.0
2011-01-11,QQQ,LSTM,0.5142303109169006,15.0
2011-01-12,QQQ,LSTM,0.5140263438224792,15.0
2011-01-13,QQQ,LSTM,0.5139539241790771,15.0
2011-01-14,QQQ,LSTM,0.513952374458313,15.0
2011-01-18,QQQ,LSTM,0.514065146446228,15.0
2011-01-19,QQQ,LSTM,0.5139382481575012,15.0
2011-01-20,QQQ,LSTM,0.513637900352478,15.0
2011-01-21,QQQ,LSTM,0.5133980512619019,15.0
2011-01-24,QQQ,LSTM,0.5134111642837524,15.0
2011-01-25,QQQ,LSTM,0.5136070847511292,15.0
2011-01-26,QQQ,LSTM,0.513862133026123,15.0
2011-01-27,QQQ,LSTM,0.513973593711853,15.0
2011-01-28,QQQ,LSTM,0.514062762260437,15.0
2011-01-31,QQQ,LSTM,0.5131432414054871,15.0
2011-02-01,QQQ,LSTM,0.5131326913833618,15.0
2011-02-02,QQQ,LSTM,0.5131722688674927,15.0
2011-02-03,QQQ,LSTM,0.5133572220802307,15.0
2011-02-04,QQQ,LSTM,0.5135703682899475,15.0
2011-02-07,QQQ,LSTM,0.5138640403747559,15.0
2011-02-08,QQQ,LSTM,0.5140781402587891,15.0
2011-02-09,QQQ,LSTM,0.5143494009971619,15.0
2011-02-10,QQQ,LSTM,0.5142324566841125,15.0
2011-02-11,QQQ,LSTM,0.5141103863716125,15.0
2011-02-14,QQQ,LSTM,0.5142409801483154,15.0
2011-02-15,QQQ,LSTM,0.514305055141449,15.0
2011-02-16,QQQ,LSTM,0.5144425630569458,15.0
2011-02-17,QQQ,LSTM,0.5144585371017456,15.0
2011-02-18,QQQ,LSTM,0.5146790146827698,15.0
2011-02-22,QQQ,LSTM,0.5147746801376343,15.0
2011-02-23,QQQ,LSTM,0.5143746733665466,15.0
2011-02-24,QQQ,LSTM,0.5142520666122437,15.0
2011-02-25,QQQ,LSTM,0.5141657590866089,15.0
2011-02-28,QQQ,LSTM,0.5143116116523743,15.0
2011-03-01,QQQ,LSTM,0.5143578052520752,15.0
2011-03-02,QQQ,LSTM,0.5137747526168823,15.0
2011-03-03,QQQ,LSTM,0.5137969255447388,15.0
2011-03-04,QQQ,LSTM,0.5138806700706482,15.0
2011-03-07,QQQ,LSTM,0.513744056224823,15.0
2011-03-08,QQQ,LSTM,0.513060986995697,15.0
2011-03-09,QQQ,LSTM,0.5130687355995178,15.0
2011-03-10,QQQ,LSTM,0.5128716826438904,15.0
2011-03-11,QQQ,LSTM,0.5127196907997131,15.0
